% CRSP stock data 
% all returns and dividend growth are net, i.e. a 10 percent return is 0.10. 
% d/p is a fraction, i.e. a 4 percent d/p ratio is 0.040. 
% d/p and returns are all december 31 of t. tb is a return for past year, not yield for next year. 
% you can load this file into matlab with the statements 
% load ps1.txt; dates = ps1(:,1); ret = ps1(:,2); dp = ps1(:,3), etc. 
    % Date        Return           D/P      D growth   T-bill ret. 
  19261231    0.09847900    0.05315742           NaN    0.03602600 
  19271231    0.32871600    0.04914341    0.17084305    0.03091700 
  19281231    0.39139700    0.04064228    0.10576370    0.04442700 
  19291231   -0.15095500    0.03845378   -0.22642129    0.04921900 
  19301231   -0.28900500    0.04782292   -0.15612970    0.02748700 
  19311231   -0.44387300    0.06327732   -0.30794683    0.00707000 
  19321231   -0.07944900    0.07124022   -0.03252856    0.00871300 
  19331230    0.57413100    0.04307391   -0.08753790    0.00465500 
  19341231    0.03184300    0.04182788   -0.03823451    0.00330100 
  19351231    0.45448700    0.04192151    0.39909080    0.00161900 
  19361231    0.32315300    0.04446886    0.34379708    0.00186000 
  19371231   -0.34604400    0.05646319   -0.21403432    0.00444200 
  19381231    0.28435900    0.04397363   -0.04187143    0.00043600 
  19391230    0.01843500    0.04882794    0.07821434    0.00017300 
  19401231   -0.07510400    0.06006244    0.07323808    0.00019200 
  19411231   -0.10038700    0.07237471    0.01086466   -0.00681000 
  19421231    0.16721800    0.07034729    0.05995588    0.00395300 
  19431231    0.27968800    0.05239231   -0.09437875    0.00407300 
  19441230    0.21364000    0.05099441    0.12394359    0.00397700 
  19451231    0.39059300    0.04130885    0.08178522    0.00399600 
  19461231   -0.06421200    0.04167650   -0.09365677    0.00382200 
  19471231    0.03293300    0.05706581    0.33799625    0.00570400 
  19481231    0.02131300    0.06468619    0.08735857    0.00859400 
  19491231    0.20109600    0.07121733    0.23445213    0.01140800 
  19501230    0.30473000    0.07171196    0.22588146    0.01200300 
  19511231    0.20944100    0.05845642   -0.06856536    0.01568100 
  19521231    0.13332400    0.05522176    0.01458480    0.01907200 
  19531231    0.00384300    0.05698058   -0.02002401    0.02221300 
  19541231    0.50412000    0.04916450    0.23698274    0.01127900 
  19551230    0.25413500    0.04160576    0.01892622    0.01597600 
  19561231    0.08581700    0.04030870    0.01120613    0.02777900 
  19571231   -0.10348400    0.04329389   -0.07704779    0.03751600 
  19581231    0.44775900    0.03956087    0.27258151    0.02053400 
  19591231    0.12646200    0.03279569   -0.09582374    0.03586600 
  19601230    0.01208900    0.03476166    0.03672150    0.03843200 
  19611229    0.26960500    0.02957336    0.04908675    0.02520700 
  19621231   -0.10312200    0.03435757    0.00735945    0.02941500 
  19631231    0.20887600    0.03234765    0.10249365    0.03256700 
  19641231    0.16303800    0.03061345    0.06799106    0.03769900 
  19651231    0.14385900    0.03056024    0.10800980    0.04069500 
  19661230   -0.08688800    0.03388882   -0.02062281    0.05204300 
  19671229    0.28566600    0.03079312    0.13332346    0.04743700 
  19681231    0.14168900    0.02928213    0.05478096    0.05549700 
  19691231   -0.10836200    0.03092648   -0.08654180    0.06977200 
  19701231    0.00072200    0.03602025    0.12502310    0.07825700 
  19711231    0.16198900    0.02999878   -0.06044506    0.04940900 
  19721229    0.17340600    0.02699727    0.02824193    0.04211600 
  19731231   -0.18747900    0.03081976   -0.10016825    0.07153700 
  19741231   -0.27941200    0.04525753    0.01233745    0.08511700 
  19751231    0.37358200    0.04202837    0.22412771    0.06864700 
  19761231    0.26769300    0.03981367    0.15491034    0.05675800 
  19771230   -0.02976900    0.04662522    0.08560692    0.05413800 
  19781229    0.08544800    0.05087322    0.12700805    0.07361200 
  19791231    0.24409200    0.05176161    0.20352122    0.10602500 
  19801231    0.33239200    0.04807948    0.18083647    0.12593600 
  19811231   -0.03986500    0.04768592   -0.09106753    0.16460500 
  19821231    0.20421600    0.05406451    0.29526698    0.13198500 
  19831230    0.22650600    0.04040201   -0.11903392    0.09331700 
  19841231    0.03162000    0.04360792    0.06695187    0.11115400 
  19851231    0.31411300    0.03914077    0.13506893    0.08526600 
  19861231    0.15561900    0.03375666   -0.03589010    0.06749900 
  19871231    0.01830900    0.03232174   -0.05550499    0.06639600 
  19881230    0.17555400    0.04050756    0.41592027    0.06860600 
  19891229    0.28432100    0.03552061    0.08757466    0.09031100 
  19901231   -0.06083600    0.03646300   -0.06983569    0.08437800 
  19911231    0.33643600    0.03093413    0.09977235    0.06385400 
  19921231    0.09064600    0.02777689   -0.04713672    0.03916600 
  19931231    0.11588900    0.02564553    0.00450418    0.03248000 
  19941230   -0.00757300    0.02611858   -0.01499392    0.04277500 
  19951229    0.35672100    0.02387779    0.21139829    0.06092200 
  19961231    0.21180400    0.02028953    0.00922256    0.05414500 
  19971231    0.30352300    0.01689490    0.06739766    0.05494300 
  19981231    0.22260100    0.01458896    0.04055060    0.05302600 
  19991231    0.25264900    0.01309958    0.11022327    0.04922700 
  20001229   -0.11161200    0.01116922   -0.25089193    0.06152200 
  20011231   -0.11267800    0.01346957    0.05584785    0.04480900 
  20021231   -0.20841300    0.01627922   -0.05861887    0.01795100 
  20031231    0.33137900    0.01801395    0.44718218    0.01160400 
  20041231    0.12991200    0.01939988    0.19368621    0.01308000 
  20051230    0.07306800    0.01828430   -0.00679791    0.03079000 
  20061229    0.16213100    0.01896356    0.18287245    0.04835400 
  20071231    0.07300100    0.01903495    0.05692166    0.05086300 
  20081231   -0.38299400    0.02372633   -0.24875022    0.02044600 
  20091231    0.31614100    0.02506147    0.35621494    0.00223200 
  20101231    0.17892000    0.02153337   -0.00839814    0.00128600 
  20111230   -0.00901700    0.02100146   -0.05337642    0.00099000 
  20121231    0.15977300    0.02530071    0.36271452    0.00107900 
  20131231    0.31677000    0.02168492    0.10463301    0.00081700 
  20141231    0.10829200    0.02089144    0.04588818    0.00049800 
